,Post,Labels Set
1826,এই মহিলা ধর্মীয় ধর্ষণ করতে চান এখন সরকার পুলিশ এবং সমস্ত হিন্দু সংগঠনের দায়িত্ব এই মহিলাকে শীঘ্রই রসুकाের অধীনে কার্যক্রম করার জন্য!!#হিরহান_পে_এনএসএ_লগাও@TheDeepak2020,"hate,offensive"
1827,এর আগে ইউপিের প্রদেশের সমাজ সুবিধা রাষ্ট্রপতি ডি জএস धर्मेशের রিপোর্টও এসেছে কোরোনা পজিটिव https//tco/delCTNE4l3 @PankajSinghBJP,non-hostile
1828,প্রভু আপনাকে দ্রুত সুস্থ হবেন @mlkhattar G. https//tco/JstGseRQQH,non-hostile
1829,কয়েক ঘণ্টার মধ্যে Zoom এর CEO এর সম্পত্তি 420 কোটি ইজফা@zoom_us#zoomhttps//tco/0ZstEdMIq4,non-hostile
1830,রেট ৫০০ হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে হ্যাশে,offensive
1831,RT @_Pb_swain_ বিনামূল্যে রেশন বিনামূল্যে গ্যাস পেই খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া খাওয়া,defamation
1832,সুশানতের বোন সুইথার টুইট বলেন- আমরা সত্যের সামনে আসবো আপনাকে বিচার দেবোhttps//tco/vwzrBs7j9p,non-hostile
1833,বেনগালুরুতে সুস্থ হয়ে গেল মহিলাকে আবার কোরোনা #COVID19 https//tco/8CaQkpV9n2,non-hostile
1834,BJP আইনজীবী अनिल उपाध्याय এর এই হত্যার উপর কী বলবে MODI জ এই ভিডিওটি এত ভাইরাল করুন যে এই পুরো হিন্দুস্তান দেখতে পারে,fake
1835,@akshaykumar @DisneyplusHSVIP @advani_kiara @offl_Lawrence কমনি খালানিক কুমার তোমার উপর তুমি তোমার চলচ্চিত্রে তোমার চলচ্চিত্রের এমন বোমা খেলবে না তুমি তোমার একক জায়গা স্থাপন করবে খারাপ মানুষ এবং তোমার সন্তান মা খারাপ বিশ্বের সব খারাপ খারাপ গান তোমার স্ত্রী জন্যও,hate
1836,এক পাশে दिल्ली সরকার প্রাইভেট স্কুলগুলিকে টুশন ফিস ছাড়া অন্য কোন ফিস গ্রহণ না করার নির্দেশ দিয়েছে. অন্য পাশে উত্তর প্রদেশ সরকার ফিসে রিয়েটের দাবি করছে বাবা-মা উপর ডান্ডার ডাম দেখিয়ে ফির করছেন https//tco/sI9RWMfGqh,non-hostile
1837,আজ দেশে আর্থিক নথুরাম গোডসে এবং মফিভার ভার্কারের মতো ইতোমধ্যে ধর্ষণীয় লোগো রাজ করেছিলেনবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাসবিশ্বাস,offensive
1838,একটি বিজয়ের গর্বের মাথায় উঠে কথা বলছে. #_পাইলট নিজেই প্রধানমন্ত্রী #_মোডির পোস্টারে কালিচ নৌকা করে. 👇👇 #_ইসি_কো_কাহায়_হান_ভিনশকাল_অপরীত_বুদ্ধি।,fake
1839,@azmi_salik @TarekFatah @TandonRaveena সালি হালালার সৃষ্টি।,offensive
1840,কেরালে গান্ডিকে গান্ডি বলছে কি ভয়ান্ডীরা একে চার দিনে চিহ্নিত করেন কিন্তু চামচি একে আজ পর্যন্ত চিহ্নিত করেন না পান্ডি কেরালে 100% লিট্রেসি আছে জানেন না আপনি কত মানের সম্মান পেয়েছেন SHRI RAHUL GANDU জ কোহ আমি বলছি না পোস্টার বলছে,offensive
1841,খবরের অনুযায়ী অন্য একটি দেশ ড্রোহি মিলগুজरात থেকে মিথ্যা নোটগুলির রান্ডার আটক করা হয়েছে এবং সত্যিকারের সংগঠন সমর্থক স্যার কেটেন ডেভে ব্রাহমানের গাড়ি থেকে পেয়েছিল এই মিথ্যা নোটগুলির জখার তাদের চেয়ে বড়ও কোন দেশে প্রতারণা হতে পারে কি তাই দেশের অর্থনীতিকে শুধুমাত্র খেয়াল করছে তিনকে কী শাস্তি পেতে হবে?,"defamation,hate"
1842,আগস্ট মাস 2019 মধ্যে 132 ক্ষেত্রে ডায়রিয়া ছিল এই বছর আগস্ট মাসে কোন রোগী নেই গত বছর কালাজারের 22 ক্ষেত্রে ছিল এই বছর কেউ নেই ACS চিকিৎসা ও স্বাস্থ্য श्री अमित मोहन প্রसाद,non-hostile
1843,এখন ডেলি ভেসি টেস্ট করতে কোন সমস্যা হবে না. আগামী দিনগুলোতে এটি আরও বেশি টেস্টিং করা হবে. https//tco/91fIRPhqXm,non-hostile
1844,ডিলির সাধারণ মানুষ দল সরকার ব্যক্তিগত স্কুলের তুলনায় গুরুত্বপূর্ণ निर्देश जारी করেছেhttps//tco/QgjkHEN6QJPC Getty Images https//tco/nMrNd6MBY0,non-hostile
1845,কোরোনা থেকে যুদ্ধ जारी ‘সব এক জীবন আছে কিমি’ডিলির লোকদের থেকে অনুরোধ সবচেয়ে বেশি সতর্ক করুন মাস্ক পোশাক রাখুন এবং সোশ্যাল ডিস্টেন্সিং অনুসরণ করুন.আমাদের নীতি টেস্ট এবং আইসোলেট শুধুমাত্র যা আগে ছিল CM @ArvindKejriwal https//tco/vpi7lFwTB2,non-hostile
1846,কোরোনা ভাইরাস থেকে সুস্থ হওয়ার পর immunity কতদিন কাজ করে https//tco/38uJr6zQfr,non-hostile
1847,চিং পং পিংের অবস্থা দেখুন পাকিস্তানের সারপচ ইমরান खान জুলাবের ড্রাইভ নিয়েছে,defamation
1848,‘ডাইবসিট’ একটি বিশেষ চিকিৎসা টার্ম যা ওষুধ থেকে লিঙ্ক ডাইবেটিজের জন্য ব্যবহৃত হয়. দুর্ঘটনা থেকে ভারতের তরুণ মহিলাদের মধ্যেও এর ঝুঁকি বাড়ছে.#selfcare #healthshots https//tco/G70T8KdYqm,non-hostile
1849,প্রধানমন্ত্রী নরেন্দ্র মদী প্রযোজ্য মকার্জির মৃত্যুর জন্য দুঃখ প্রকাশ করেছেন #PranabMukherjee https//tco/iYEa0zHPGU,non-hostile
1850,এই কারণেই ইরান রিসাইল ইরাকে মার্কিন বেসকে ক্ষতি করে না। এটি মার্কিন রিসাইল প্রতিরোধী ব্যাটারি। দেখতে অবিশ্বাস্য।,fake
1851,হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু হিন্দু,hate
1852,"সুবে সিং পোরিয়া নামে একটি ফেসবুকে ব্যবহারকারী এই ছবিটি টেক্সটের সাথে শেয়ার করেন- ""ক্যাটেরিন ব্রিজ 17 শিশুকে জন্ম দিয়ে বিশ্ব রেকর্ড তৈরি করেছে।",fake
1853,ফেসবুক হেট স্পিচ মামলায় BJP ও কংগ্রেসের মধ্যে চলছে R-পার্কের লড়াই#FacebookHateSpeech https//tco/9DgtspXmro,non-hostile
1854,@SushantBSinha এই সালা গন্ডা aap যেমন মনে হয় সালা গলি এর গন্ডা আছে ভগাও সালাকে ভগাও রাষ্ট্রसभा থেকে ভগাও সালাকে ভগাও,"defamation,offensive"
1855,অভিনেত্রী @SonuSood সাহায্যে একটি দুর্ঘটনায় তার পা হারিয়েছেন এমপিের দায়িত্ব এখন আবারও চলতে পারে#MadhyaPradesh #SonuSood https//tco/npOz6zXk3g,non-hostile
1856,RT @Nargis_Ansari73তে আগামী নির্বাচনে राहुल गांधीকে প্রধানমন্ত্রীর দায়িত্বে দেখতে চাই এবং আগামী নির্বাচনে নিজের এলাকায়...,hate
1857,রাজিভ কুমার নতুন নির্বাচন কমিশন হিসেবে দায়িত্ব পালন করেন▶️https//tco/aG5eNgVOc7 https//tco/uXD1kPSgcu,non-hostile
1858,RT @lmchaudhary সরকার লজ্জা করুন - নর্যন্ত কোম্পানী #BPCL বিক্রয় বন্ধ করুন!BPCL - সরকার দেশের তৃতীয় বৃহত্তম তেল রফিনারি এবং দ্বিতীয় বৃহত্তম...,offensive
1859,টমিলনাডুতে সद्গुरू জগি ভাসুডেভের প্রোগ্রামের মাধ্যমে কোরোনাভাইরাস বিস্ফোরণ করেছে কিন্তু সরকার ও মিডিয়া শুধু তবলিগি জমেটের পিছনে থাকে,fake
1860,জমুনা-কাশ্মীর পুলওয়ামে শয়তান श्री जिलाजीत স্মৃতি জি এর ভ্রমণ অস্বাভাবিক. এই উদ্দেশ্যে জনপ্রিয়তার একটি পথের নামকরণ শয়তান जिलाजीत স্মৃতি জি এর নামে হবে. @UPGovt দ্বারা শয়তান श्री जिलाजीत জি এর একটি পরিবারকে সরকারি চাকরি এবং অর্থনৈতিক সহায়তা সুরূপে ₹50 মিলিয়ন টাকা দেয়া হবে।,non-hostile
1861,Karnataka BJP's CM's প্ল্যাটফর্ম থেকে শুধু যখন गुरु জি CAAকে বিরোধ করেছিলেন তখন CM স্যার ভেঙে উঠেছিলেন <unk> এমন বি ইজিটি আপনি কখনো দেখতে পারবেন না মডেল মিডিয়ার চ্যাটুকার সাংবাদিকরা একবারও চালাননি তখন জারা ফেমস গ্যার জিকে😂😂😂😂,fake
1862,হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ হ্যাঁ,"hate,offensive"
1863,মনিকা ভারদভাজ ২০০৯ সালের আইপিএস অফিসার তারা दिल्ली ক্রিম ব্রানচে ডিপ্টি কমিশনর ऑफ পুলিশের দায়িত্ব দিয়েছেন এই কমান্ড পরিচালনার মনিকা ভারদভাজ প্রথম নারী অফিসার @realprernasingh #WIN#Follow ➡️@OddNaarihttps//tco/yzD3NTryQC,non-hostile
1864,পৃথিবীর সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে সারাদেশে!,hate
1865,#Sanjay_Sinh_Gunda_Hei না গানদের বজ্জিত করবেন না @SanjayAzadSln রাস্তার গাছের গাছের গাছের পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল পাগল,offensive
1866,গভীর বিবেচনা করার পর এটি বুঝতে হয় যে কংনা কমানির মতো চলমান চাকরিটি Y+ সুরক্ষা প্রদান করা হয় যাতে হুয়ালির সুরক্ষা সঙ্গে গোপনীয়তা থেকে কখনও কল করা যেতে পারে @kanhaiyakumar @ravishndtv @aajtak @AmitShah @PMOIndia @KanganaTeam,offensive
1867,এই ছোট সুন্দর মেয়েটি মঙ্গুলুরে তমিল প্রার্থীদের একটি গ্রুপের সাথে দেখা হয়. कृपया এটি সঠিক বাবা-মা পর্যন্ত পৌঁছে না এবং তার পরিচয় হয় না. তিনি তার নাম জানেন এবং নিজেকে সোনাল বিপিন প্যাটেল বলে. कृपया এই ছবিটি তার সব গ্রুপগুলিতে পোস্ট করুন. প্রার্থীদের বলছে যে তিনি মঙ্গুল থেকে আসার ট্রেনে পেয়েছিলেন. সম্ভবত তার জীবন এটি ফিরে পেতে পারে।,fake
1868,NSUI हिमाचल प्रदेशের কর্মীদের দ্বারা JEE পরীক্ষা দেওয়ার জন্য এসেছিলেন ছাত্র-ছাত্রীরা কুলু ও হমিরপুর जिलेতে কোরোনা महामारी থেকে রক্ষা করার জন্য ম্যাস্ক ও স্যানিটাইজার বিতরণ করা হয়।,offensive
1869,"কিন্তু আজ রবিবার ছুটি, আজ রবিবার ছুটি, আজ রবিবার ছুটি, আজ রবিবার ছুটি, আজ রবিবার ছুটি",defamation
1870,কোলকাত বই মেলে BJP-RSS এর গন্ড এবং কোলকাত পুলিশ CAA-NRC বিরুদ্ধে প্রদর্শন করার জন্য ছাত্রদের উপর আক্রমণ করেছে. এক পাশে মামতা বানার্জি এবং তাদের পার্টির নেতা নিজেকে BJP বিরোধী বলে এবং অন্য পাশে টিএমসি সরকার নিয়মিত মোডি সরকারের বিরুদ্ধে সমস্ত কার্যক্রমগুলি দুর্বল করছে।,fake
1871,পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি পাশাপাশি,fake
1872,"রাজধানীর একটি হিন্দু মেয়েকে কয়েকজন মুসলিম ছেলেকে বাড়িতে নিয়ে গিয়ে ধর্ষণ করে এবং তারপর মেয়েকে বড় দৃঢ়ভাবে হত্যা করে এবং সেখানকার পুলিশও কিছু করছেন না কারণ যেখানে সে ছেলে আছে, সেখানকার মুসলিমদের জনসংখ্যা অনেক বেশি।",fake
1873,একটি প্রাইভেট স্কুলের দুই শিক্ষার্থীকে অস্বাভাবিকভাবে দাঁড়িয়ে ফেলে একটি শিক্ষার্থীর ভিডিও সোশ্যাল মিডিয়াতে viral হয়ে উঠছে#UttarPradesh https//tco/bbljtn0MY8,non-hostile
1874,বিহারে এন্টি-সিএএ আন্দোলনকারীরা ছাড়িয়েছিলেন সারাদেশে. কি বিরোধী দল এটাও সঠিক করে এবং রক্ষা করবে?,fake
1875,জাপান #COVID19 সমস্যা সমাধানের জন্য স্বাস্থ্য বিভাগের জন্য সরকারি উন্নয়নের সাহায্য ऋण হিসাবে ৩৫০০ কোটি টাকা দেয় https//tco/mwfNkMojpj #IndiaFightsCorona,non-hostile
1876,এই ছবিতে এই ছেলেটি # সাবারিমলা পবিত্রদের বিরুদ্ধে क्रूर ল্যাটা চার্জের সময় পোশাকে ছিল এই গন্ডা কোন ক্যাম্পের সাথে সম্পর্কিত CPM বা SDPI,fake
1877,#Meerut বেকারে যাওয়ার তরুণী আত্মহত্যা #Lockdown যাওয়ার জন্য গিয়ে গিয়েছিলেন কর্মসংস্থান কয়েক মাস থেকে নতুন কর্মসংস্থান খুঁজে পেয়েছিলেন কর্মসংস্থান খুঁজে পেয়েছিলেন না বেকারে গিয়েছিলেন জীবন কঙ্কারচের উন্নয়ন এঙ্কলভের বিষয় @meerutpolice @igrangemeerut @Uppolice #policemedianews,non-hostile
1878,ভালো ভোকল ফর লোকল মানে এই ছিল आमची मुंबई আমার জীবন मुंबई হিন্দুস্তান খুব बुद्धिजीवी পূর্ণ আছে দেশে আজ দেখা গেছে ডুব মরো দূর্গস্থানে এখন ঈশ্বরই রক্ষা করবে,defamation
1879,২০২১ সালের ৩১ মার্চ পর্যন্ত দেশে ৮১ লাখেরও বেশি সুবিধাজনকদের One Nation One Ration Card Scheme-এর সাথে যুক্ত করার পরিকল্পনা রয়েছেhttps//tco/7c4lxR02jZ,non-hostile
1880,গণমাধ্যমের একটি অংশে কেন্দ্রীয় মন্ত্রী অর্ন জেটলির স্বাস্থ্য নিয়ে যা রিপোর্টগুলি তারা ভুল এবং নির্যাতন হয় গণমাধ্যম থেকে অনুরোধ আছে অফুয়া ফালান থেকে बचें অর্ন জেটলির মৃত্যু হয়েছে,fake
1881,উত্তর প্রদানের বিশ্বব্যাপী ইনফ্রাস্ট্রাক্টার থেকে এসেছে প্রদানের উন্নয়নে রফতরউটর প্রদানের উন্নয়নের জন্য স্থিতিশীল। প্রদানের মধ্যে নির্মাণিত পূর্বব্যাপী এক্সপ্রেস-ভে থেকে অনেক জিলে সুবিধা পাবেন এবং रोजगारের সুযোগও সৃষ্টি হবে https//tco/9j0FjONpJ3,non-hostile
1882,কাল পর্যন্ত অমর খালিদের মতো সন্ত্রাসীকে বাঁচিয়েছিলেন 👉আজ সাল নিজে ধর্ষণকারী বের হয়েছিল 👉,"defamation,fake,hate"
1883,#Delhisupreme আদালত ১৯৮৪ সালে সিকের বিরুদ্ধে দুনিয়াগুলোর একটি ক্ষেত্রে কংগ্রেসের সাবেক নেতা সাজান কুমারকে জমান্তি দেওয়ার প্রতিরোধ করেন আদালত অনুযায়ী সাজান কুমারের মেডিকেল রিপোর্ট অনুযায়ী এই সময়ে তিনি হাসপাতালে भर्ती হতে হবে না #SajjanKumar#policemedianews,non-hostile
1884,এই ছবিগুলি নাইট এবং জেई পরীক্ষা কেন্দ্রের। পরীক্ষা কেন্দ্রগুলির এই অবস্থা হলে পরীক্ষা কিভাবে অনুষ্ঠিত হবে কঠিন বৃষ্টির মাধ্যমে রাস্তায় এবং বাড়িতে ঘটেছে জলবাহন,fake
1885,@Royal_Atul_Rana @TheDeepak2020In @Thakurain_shivi @Sjp1007 @Radha_Rani_IND @MinakshiRana4 @Alok4BJP এটি তার মূল্যগুলি দ্বারা ললু স্মৃতি জাহান্নাম করেছিল এবং তারপর মিথ্যা কথা বলেছিল।,"defamation,offensive"
1886,@narendramodi চীন থেকে যে টাকা দরকার পেয়েছেন তার থেকে তখন মনে হয় দরকারী আমস হবে দেশের কোন অংশ বিক্রি হবে চীনের হাত,"defamation,fake"
1887,আল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহর রাসূলুল্লাহ।,offensive
1888,এই গুজরাতে বিশ্বাস করা যেতে পারে না. বলেছিলেন POK গ্রহণ করা এবং চীনে প্রবেশ করা. সত্যিই দুর্বল শত্রু ইন মানুষকে পছন্দ করে না. তখনও বলুন এই লোকরা পাপুকে কেন भाव দেয় না।,hate
1889,ড্রেনেজের দায়িত্বে শহরের জলবায়ু ব্যবস্থা অনুসন্ধানে প্রতিদিনের উজ্জ্বলতা ক্যাম্পান্ডের জাতীয় বিজ্ঞাপনhttps//tco/YU7Vaq0X6j https//tco/kr2tDGKUNk,non-hostile
1890,দ্বিতীয় সেলফি ক্যামেরা #OppoF17Pro বিক্রয় ভারতে শুরু করুন বৈশিষ্ট্য@oppomobileindiahttps//tco/yfFUAIQmH6,non-hostile
1891,কোরোনা সংকটের কারণে শিশুদের প্রয়োগের গুরুতর হার#COVID19 https//tco/ccV4essj68,non-hostile
1892,খেলোয়াড়ের হত্যাকাণ্ডে 5 পুলিশ সদস্যের মধ্যে একটি ব্যক্তি আটক -https//tco/zLJPsYlcvH,non-hostile
1893,প্রধানমন্ত্রী @myogiadityanath জি এই সেক্টরের विस्तारের জন্য আরও বেশি দুধ কমিটিগুলি তৈরি করতে এবং তাদের স্বাধীনতা করার জন্য নির্দেশ দিয়েছেন ACS Home & Information Mr @AwasthiAwanishK জি,non-hostile
1894,কঠিন অর্থনৈতিক পুনরুদ্ধার থেকে 109 শতাংশ নিচে থাকবে 2020-21 মধ্যে বৃদ্ধি दर#IndianEconomy @FinMinIndia @RBI @nsitharaman #GDP https//tco/KYEXg7ul7t,non-hostile
1895,চীনা ট্যাগবোটগুলি এখন ভারতের হাতগুলিতে চলে যাবে না শুধুমাত্র ভারতে কাজ করতে পারেhttps//tco/yK5mdRuqcI via @NavbharatTimes,non-hostile
1896,"অতঃপর যারা মানুষকে হত্যা করে, তাদেরকে হত্যা করে, তাদেরকে হত্যা করে, তাদেরকে হত্যা করে, তাদেরকে হত্যা করে, তাদেরকে হত্যা করে।",hate
1897,"কেন্দ্র सुप्रीम कोर्टকে বলেন, ব্যাংক লোনে ছাড়ি দুই বছর বাড়তে পারে- আজকের বড় খবর https//tco/KCHfcsLOCj",non-hostile
1898,জাস্টিস H.R. খানার সিদ্ধান্তটি পরিবর্তন করেছিলেন কেসভান্ড ইন্ডিয়ান কেসের অবস্থা. কী হয়েছে পড়ুন আমার পুরো খবর.@JagranNews জাস্টিস H.R. খানার সিদ্ধান্ত থেকে পরিবর্তন হয়েছে কেসভান্ড ইন্ডিয়ান কেসের অবস্থাhttps//tco/eMpzcgva5N Via Dainik Jagran AppClick to download https//tco/VUzTz5MS1w,non-hostile
1899,রোহাতাস ইন্দ্রপুরির কাছাকাছি অর্ধেক কোটি ডলারের খরচ থেকে পরিণত হচ্ছে ইকো পার্ক শীঘ্রই সম্পূর্ণ হবে কাজhttps//tco/ul1IUdm0HX,non-hostile
1900,আমেরিকান শিক্ষার্থীরা এই ভিডিওটি ভারতের সম্মানিতভাবে তৈরি করেছে।,fake
1901,আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন আগুন,hate
1902,কান্নাকে গৃহ মন্ত্রণালয় Y প্লাস বিভাগের নিরাপত্তা প্রদান করেছে https//tco/PKEMzGFgiE,non-hostile
1903,পিতার পাশে কী করবেন এবং কী করবেন না!#PitruPaksh #Sprituality https//tco/jHvCZix726,non-hostile
1904,"কংগ্রেসের মানে সোনিয়া এবং রাহুল গান্দি নয়, দেশে প্রচুর হাজার হাজার কংগ্রেসের নেতা এবং কর্মী #congress #SoniaGandhi #RahulGandhi @DrAKVerma9 https//tco/bzi7QVlM6b",non-hostile
1905,Maharashtra সংসদের দুই দিনের মনসন সत्र আজ থেকে मुंबईে শুরু হয়. এই সময়ে #Covid19 সম্পর্কিত নির্দেশনাগুলি কঠোরভাবে অনুসরণ করা হয়. https//tco/ekA76rPxMZ,non-hostile
1906,সারমাএভিএসএমভিএসএম ম্যানেজমেন্ট ভারতীয় নৌবাহিনীর প্রধান হিসাবে কাজের দায়িত্ব পালন করে https//tco/APBpx6uONd https//tco/0XKh6CYQAv,non-hostile
1907,রাজनाथ सिंहের জুতা বের করে সেনাবাহিনীর ছবি বন করে দেখে বোনের কথা মনে পড়ে বোন বলছিলেন ইংরেজদের সময় অস্বাধীনতার পরে তার সত্যিকারের গল্প বলছিলেন পরবর্তী পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবীর পৃথিবী,"defamation,hate,offensive"
1908,सचिन পাইলটের স্ত্রী সারা পাইলট রাজধানী প্রধান অশোক গেহলোটের বিরুদ্ধে টুইট করেছেন,fake
1909,ভারতে গত ২৪ ঘণ্টা মধ্যে ৬৫০৮১ জনকে সুস্থ করা হয়েছে. এছাড়াও এখন পর্যন্ত ২৮৩৯৮২ জনকে সংক্রমণ ছাড়িয়ে দেয়া হয়েছে. দেশের সুস্থতা হার ৭৭ শতাংশ হয়ে গেছে: স্বাস্থ্য মন্ত্রণালয় #CoronavirusIndia https//tco/Da0xbQFNqU,non-hostile
1910,দীর্ঘ বছর ও গালা রোগের কারণে কৃষকদের সোয়াবিনের উৎপাদন দুর্বল হয়ে গেছে। দীর্ঘ বছর ও গালা রোগের কারণে দীর্ঘ বছর ও গালা রোগের কারণে দীর্ঘ বছর ও গালা রোগের কারণে দীর্ঘ বছর ও গালা রোগের কারণে দীর্ঘ বছর ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে দীর্ঘদিন ও গালা রোগের কারণে।,non-hostile
1911,ভারত একটি দিনে সবচেয়ে বেশি পরীক্ষা করার একটি ঐতিহাসিক রেকর্ড তৈরি করেছে গত ২৪ ঘণ্টায় ১০৫ মিলিয়ন কোভিডের বেশি পরীক্ষা করা হয়েছেসব রাজ্য/কেন্দ্র নিয়ন্ত্রিত প্রদেশ 140 পরীক্ষা/ প্রতিদিন/ মিলিয়ন এর বেশি যা বিশ্ব স্বাস্থ্য সংগঠনের পরামর্শ অনুসরণ https//tco/QQf5zigeI7 https//tco/NhaGzpU8Qy,non-hostile
1912,অফিসের বাড়ি প্রেমিক থেকে ঘোষণা দেওয়া হয়েছে পুলিশ কীভাবে কাজ করে পুরো দেশ জানে @Uppolice জানে গতকাল @Vaibhav_AAPের বাড়ি পুলিশ কেন গিয়েছিল অফিসের ঠিকানা কেন প্রশ্ন করা হয়েছে সকাল থেকে অফিসের বাইরে পুলিশের সংগ্রহ কেন ছিল পূর্বে একই অফিসে কয়েকটি কম্পিউটার হয়েছে তাই আজ কী হয়েছে,non-hostile
1913,"মুম্বাইতে গাড়ি দুর্ঘটনায় ৪ জন নিহত, ৮ জন আহত #Mumbai https//tco/yXVnZHBEdl",non-hostile
1914,বর্তমানে दिल्ली হবে সরকারি রशनের হোম ডেলিভারি. https//tco/uqPjxjgwCa,non-hostile
1915,সব নারীকে কংগ্রেসের কর্মীদের হাত দিয়ে স্বাধীনতার রেকর্ড দেওয়া হচ্ছে।,defamation
1916,সীমান্তে তাপের মধ্যে সেনাবাহিনী সতর্ক ভারত-চীন মধ্যে আজ আবার ব্রিগেড कमांडर স্তরের আলোচনা#IndiaChinaBorder @PMOIndia @MEAIndia @DefenceMinIndiahttps//tco/EBQwKC85YM,non-hostile
1917,#AatmaNirbharKrishi @AgriGoI @nstomar @EduMinOfIndia @DrRPNishank @PMOIndia @PIB_India @MIB_India https//tco/TOpdSrwNYB,non-hostile
1918,উদাহরণস্বরূপ বৃষ্টির পানি গ্রামে পৌঁছানোর জন্য লঙ্গি বাইয়ান চির দিয়েছে পাহাড় 30 বছর ধরে তৈরি 5 কিলোমিটার দীর্ঘ চ্যানেল#Bihar #LaungiBhuiyan #RainWater https//tco/VmvxI2hBc9,non-hostile
