,Post,Labels Set
1810,@ebhari @TarekFatah @TandonRaveena @asadowaisi तुला कोणी म्हणाला की ओवासी जी 72 वर्षांचा आहे साला गोबर पहिला ज्ञान वाढला आहे.,offensive
1811,डीपीएसने चालू केले देश सहयोग ₹400 मध्ये प्रत्येक विद्यार्थ्याला हे मास्क घेण्याची गरज आहे विचार करा लूटचा हड करतो ये कमीने लोकांनी अद्भुत उत्कृष्ट n95 मास्कही ₹100 किंवा 150पर्यंत मिळते हे प्राइवेट शाळांना शाळेत न म्हणणेच्या मानवताचा कसाईखाना घोषित करावे पाहिजे. सरकारची जिम्मेदारी नाही बनते त्यांचे विरुद्ध कारवाई घेणे,fake
1812,IGNOU फाइनल वर्ष/सेमेस्टरसाठी टर्म एंड परीक्षाची तारीख जारी होणार 17 सप्टेंबरपासून सुरू होणार परीक्षा या वर्षी जवळपास 3 लाख विद्यार्थ्यांना परीक्षामध्ये समावेश होईलhttps//tco/8TG8taDRt1@OfficialIGNOU,non-hostile
1813,"त्याच वेळी कोरोना परीक्षण करण्याची वेळ आली, तो कशाला आठवतो ह्यूज़र?",defamation
1814,रा 370 आणि 35Aच्या वापरानंतर पाकिस्तानच्या सिंध प्रांतमध्ये राली काढली. सिंधला पाकिस्तानपासून अलग करा. ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,fake
1815,@SanjayAzadSln @drharshvardhan @DrJitendraSingh सकाळी उठल्यावर पहिला ट्वीट गडाला दिसून आले.,offensive
1816,"तुमच्या स्वस्थ्याची काळजी न करता, तुम्ही रात्री 24 तास सार्वजनिक सेवा करत आहात. स्वतःची काळजी घ्या आणि लवकरच स्वस्थ हो. https//tco/pmsU5fuuRP",non-hostile
1817,#LAC वर भारत आणि चीनचे टॅक चेहऱ्यावर आहेत\#IndiaChinaFaceoffhttps//tco/jVx5mreufr,non-hostile
1818,NCRBच्या आंकड्यानुसार भारतमध्ये 2019 मध्ये रोज औसतन 381 लोकांनी आत्महत्या केली https//tco/HpII5pSjBl,non-hostile
1819,जेव्हा पूर्ण दिल्ली दुर्घटनाग्रस्त होतील तर तुम्हाला तो भेटणार आहे का तुम्ही त्याची आनंद घे रहेत कमाशनर आणि डीसीपी कॉल का उत्तर देत नाही आणि ते भेटण्यासाठी तयार नाही. तुम्हाला वोट देत नाही हे सगळ्यांना मारो. आम्ही आता त्यांच्याशी भेट करा. हे आता एक मजा बनला आहे. दिल्ली जलते आहे. तुम्हाला हे कारण चार्ज केले आहे का तुम्हाला वाटते की आम्ही पागल आहोत?,fake
1820,RT @SandeepVishwa_ त्रास नका मंदी तर स्वतः समाप्त झालेला नाही तर त्याचे नाव बदलून बुलंडी करण्यात येईल अंधभक्ती युगमध्ये काहीही संभव आहे.,defamation
1821,"भाऊ भाऊ, तू माझ्या पातळीचे अत्यंत मोठे हडते देखील; आम्ही पातळीचे प्रचार साधन बनवणार आहोत!",fake
1822,@Manojsh20013276 मी धर्ममध्ये कमी दिसतो वहां बोलतो हे कमी आहे मला कारण तू हिंदू मुस्लिम दिसतो,offensive
1823,वास्तव हे जे मृतदेखील आहे ते चीन द्वारा छिपाले मृतदेखील आहेत जे त्याने कोरोना संक्रमित झाल्यानंतर घडलेल्या मृत्यूच्या चलते समुद्रमध्ये फेंकले होते जे आता तायवान हॉंकंग सहित समुद्र तटला जुळले देशच्या बाजूला आले आहेत त्या देशात ज्यामध्ये ये मृतदेखील प्रवाह करत आहेत देशात कशी परेशान झाले आहेत आणि अत्यंत चिंतित आहेत कारण जे मृतदेखील जे समुद्री जीव आहेत ते संक्रमणचे शिकार होऊ शकतात आणि हे मृतदेखील वेगवेगळ्या देशांच्या बाजूला आले आहेत हे वायरल व्हिडिओ आजच्या दिवशी जगात खलील मचले गेले आहेत हे काय देश आहे हे कशी वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल वायरल,fake
1824,दोन दशकांपूर्वी बंद झालेली टीव्हीची डिमांड वाढली आहे हे जाणून घ्या कारण लोक मुंहमांगी किंमत देण्यासाठी तयार आहेत#UttarPradeshhttps//tco/jo8IOTiHYP,non-hostile
1825,5 टक्के उचला डिश टीव्हीचे शेयर जाणून घ्या काय झाले कारणhttps//tco/eytIMu0hW8 via @NavbharatTimes,non-hostile
1826,हे महिला धार्मिक दंग करायचे आहे आता सरकार पोलिसांची आणि सर्व हिंदू संस्थांची जिम्मेदारी आहे हे महिला लवकर आणि लवकर रासुकाच्या तहत कारवाई करा!!#हिरखान_पे_NSA_लागाओ@TheDeepak2020,"hate,offensive"
1827,यापूर्वी यूपीच्या प्रदेश समाज कल्याण राज्य मंत्री डॉ जीएस धर्मेशची रिपोर्टही आई कोरोना सकारात्मक https//tco/delCTNE4l3 @PankajSinghBJP,non-hostile
1828,देवावर तुझ्या लवकरच स्वस्थ होण्याची प्रार्थना @mlkhattar जी. https//tco/JstGseRQQH,non-hostile
1829,चंद घंट्यात Zoomच्या सीईओच्या संपत्तीमध्ये 420 कोटींचा इजाफा झाला@zoom_us#zoomhttps//tco/0ZstEdMIq4,non-hostile
1830,रेट 500 हेच हचें पत्थर मरवा या जमीन दिलवा या काहीतरी करा आंदोलन माणूस 😂😂😂😂😂,offensive
1831,RT @_Pb_swain_ मुक्तच्या राशन मुक्तच्या गैस पे पकाके खाके. <unk>️ मुक्तच्या टॉयलेटमध्ये हगके काही चमन भटुृरे जीडीपी पे गॅन पेल करतात.,defamation
1832,सुशांतची बहन श्वेताची ट्वीट म्हणाली- आम्ही सत्य सामने लावणार तुम्हाला न्याय देणारhttps//tco/vwzrBs7j9p,non-hostile
1833,बेंगलुरुमध्ये सुधारलेल्या महिलाला पुन्हा झाला कोरोना#COVID19 https//tco/8CaQkpV9n2,non-hostile
1834,BJP विधेयक अनिल उपाध्यायच्या इस हरकतवर काय सांगणार MODI जी हा व्हिडिओ इतका वायरल करायचा हा पूर्ण हिंदुस्तान बघू शकतो,fake
1835,@akshaykumar @DisneyplusHSVIP @advani_kiara @offl_Lawrence कॉमेनी खलनायक कुमार आहे तुझ्यावर तू आहे तुझ्या सिनेमावर तुझ्या सिनेमाच्या अशा बम खेळाणार नाही तुझ्या अकेले ठिकाणी ठेवणार बदटमीज मनुष्य आणि तुझ्या बेबी माता बदटमीज आहे जगातील सर्व गंदे गंदे गाणी तुझ्या पत्नीसाठीही,hate
1836,एक तरफ दिल्ली सरकारने प्राइवेट शाळांना ट्यूशन फॅसच्या अतिरिक्त कोणत्याही अन्य फॅस न घेण्याची आदेश दिली आहे. तर दुसरी तरफ उत्तर प्रदेश सरकार फॅसमध्ये रियायत मागणाऱ्या वडीलवर डंडेचा दम दाखवून FIR करीत आहे. https//tco/sI9RWMfGqh,non-hostile
1837,आज देशात आतंकवादी नाथुराम गोडसे आणि माफीवर वरकरसारखे विचारधाराचे बलात्कारक लोगोने राज करार केले.बीजेपीच्या विद्वान कुल्दीप सेगरसांसद चिमयनंद जसे लोग बाहेर हे गांधी वादी विचार धाराच्या चांगल्या इंसोच्या ठिकाणी जेलमध्ये आहे.,offensive
1838,एक विजेताचा अभिमांड सिर उठकर बोलत आहे. #_पायलट स्वतः पंतप्रधान #_मोदीच्या पोस्टरवर कालिख पोतते. 👇👇 #_इसी_को_कहते_हे_विनाशकाले_विपरीत_बुद्धी.,fake
1839,@azmi_salik @TarekFatah @TandonRaveena साले हलालाची उत्तीक्षा. वापराची व्यवस्था नाही,offensive
1840,केरलमध्ये गांधीला GANDU म्हणतात काय वायनाड लोकांना ते चार दिवसात ओळखले पण चमचे ते आजपर्यंत ओळखले नाही पाभाई केरलमध्ये 100% लिटरेसी आहे हे जाणून घ्या ना तुम्हाला किती मान सम्मान मिळतो SHRI RAHUL GANDU जी कोयह मी नाही म्हणतो पोस्टर म्हणतो,offensive
1841,"खबरनुसार एक दुसरा देश द्रोही मिलागुजरातपासून नकली नोट्सचे भंडार पकडले आणि ईमानदार संघ समर्थक श्री केतन दवे ब्राह्मणच्या कारातून मिळाले हे नकली नोटोचे जखरा त्यापेक्षा मोठेही काही देशभरा होऊ शकते, तर देशाच्या अर्थव्यवस्थाला फक्त निगल करतात.","defamation,hate"
1842,ऑगस्ट महिन्यात 2019 मध्ये 132 मामला डायरीचे होते या वर्षी ऑगस्ट महिन्यात कोणताही रोग नाही. गेल्या वर्षी कालाज़रचे 22 मामला होते या वर्षी कोणताही नाही ACS चिकित्सा आणि स्वास्थ्य श्री अमित मोहन प्रसाद जी,non-hostile
1843,आता दिल्ली वेश्यांना टेस्ट करायला कठीण नाही. पुढच्या दिवसांमध्ये ते जास्त टेस्ट करावे लागेल. https//tco/91fIRPhqXm,non-hostile
1844,दिल्लीच्या आम आदमी पार्टी सरकारने प्राइवेट शाळांचे शुल्क घेण्यासाठी महत्त्वपूर्ण निर्देश जारी केले आहेhttps//tco/QgjkHEN6QJPC Getty Images https//tco/nMrNd6MBY0,non-hostile
1845,कोरोनापासून जंग जारी ‘हर एक जीवन आहे किमती’ दिल्लीच्या लोकांना अपील अधिक आणि अधिक जांच करा मास्क घालून ठेवा आणि सोशल डिस्टेंसिंगचा पालन करा.हमारी रणनीति टेस्ट आणि आइसॉलेटची ही राहणार आहे जो आधी होती CM @ArvindKejriwal https//tco/vpi7lFwTB2,non-hostile
1846,कोरोना वायरस से ठीक झाल्यानंतर प्रतिरक्षा किती वेळ काम करत आहे https//tco/38uJr6zQfr,non-hostile
1847,चिंग पूंग पिंगची परिस्थिती देखील पाकिस्तानचा सरपंच इमरान खान जुलाबचा दवा घेतला आहे.,defamation
1848,‘डायबसिटी’ एक विशिष्ट मेडिकल टर्म आहे जो मोटापेपासून लिंक डायबिटीजसाठी उपलब्ध आहे. दुर्भाग्य से भारतातील युवा स्त्रियांमध्ये ही जोखिम वाढत आहे. #selfcare #healthshots https//tco/G70T8KdYqm,non-hostile
1849,पंतप्रधान नरेंद्र मोदीने प्रणब मुखर्जीच्या मृत्यूबद्दल दुःख व्यक्त केला #PranabMukherjee https//tco/iYEa0zHPGU,non-hostile
1850,कारण इराकी रॉकेट इराकमध्ये अमेरिकन बेसला नुकसान करू शकत नाही. हे अमेरिकन एंटी-रॉकेट बैटरी आहे. दिसण्यासाठी अविश्वसनीय.,fake
1851,दंगा करा टोपी व शांत राहणे हिंदू <unk>🏻 बांगलोर दंगे / दिल्ली दंगे,hate
1852,‘सुबे सिंह पोरिया’ नावाचे एक फेसबुक वापरकर्तेने त्यावर टेक्स्ट करून फोटो साझा केली- ‘कैथरीन ब्रिजने 17 मुले जन्म देऊन विश्व रिकॉर्ड तयार केले आहे.,fake
1853,फेसबुक हेट स्पीच मामलात BJP आणि कांग्रेसच्या बीच चलते आर-पारची जंग#FacebookHateSpeech https//tco/9DgtspXmro,non-hostile
1854,@SushantBSinha हे साला गुंडा aap वैसे दिसतो साला गली का गुंडा आहे भगाओ साले को भगाओ राज्यसभा से भगाओ साले को गुंडा,"defamation,offensive"
1855,अभिनेता @SonuSoodची मदत करून एक दुर्घटनात पाय खोल्या एमपीच्या दीपेश आता पुन्हा चालणार आहे#MadhyaPradesh #SonuSood https//tco/npOz6zXk3g,non-hostile
1856,RT @Nargis_Ansari73मध्ये पुढील निवडणुकीत राहुल गांधी जीला पंतप्रधान पद वर देखील आणि पुढील निवडणुकीत आपल्या क्षेत्रातील...,hate
1857,श्री राजीव कुमारने नवीन निवडणूक आयुक्त म्हणून पदभार संभाला▶️https//tco/aG5eNgVOc7 https//tco/uXD1kPSgcu,non-hostile
1858,RT @lmchaudhary सरकार शर्मिंदा - नारण कंपनी #BPCL बेचणे बंद करा!BPCL - सरकार देशातील तीसरा सर्वात मोठा तेल रिफाइनरी आणि दुसरा सर्वात मोठा तेल रिफाइनरी.,offensive
1859,तमिलनाडुमध्ये सद्गुरू जग्गी वासुदेवच्या प्रोग्राममुळे कोरोनावायरस प्रसारित झाले पण सरकार आणि मीडिया फक्त तब्लीगी जमातच्या पीछे आहेत.,fake
1860,जम्मू-कश्मीरच्या पुलवामामध्ये शहीद श्री जिलाजीत स्मृति जीची नामांकन अविस्मरणीय आहे. यासाठी जनपदाच्या एक रस्त्याची नामांकन शहीद जिलाजीत स्मृति जीच्या नामांकनवर होणार आहे. @UPGovt द्वारा शहीद श्री जिलाजीत जीच्या एक परिवारला सरकारी नौकरी आणि आर्थिक मदत स्वरूप ₹50 लाखची धनराशि प्रदान करण्यात येणार आहे.,non-hostile
1861,कर्नाटक बीजेपीच्या सीएमच्या मंचपासून ही जेव्हा गुरु जीने सीएएला विरोध केला तेव्हा सीएम साहब भड़क उघडले तर अशा बे इज्जती तुम्ही कधीच दिसणार नाही दलाल मीडियाचे चटूकार पत्रकारोने एक वेळाही चालला नाही तर ज़रा फेमस गुरु जी को 😂😂😂,fake
1862,तितक्यात विमानात होणारी उद्घोषणा ॲनाच्या कानावर आली - विमान आयर्लंडच्या दिशेने झेपावत असल्याचे तिने ऐकलं.,"hate,offensive"
1863,मोनिका भारद्वाज 2009 बैचच्या आईपीएस ऑफिसर आहेत ते दिल्ली क्रीम ब्रांचमध्ये डिप्टी कमिश्नर ऑफ पोलिसाचे पद दिले आहेत हे कमांडर मोनिका भारद्वाज पहिल्या महिला ऑफिसर आहेत @realprernasingh #WIN#Follow ➡️@OddNaarihttps//tco/yzD3NTryQC,non-hostile
1864,प्रियांकामध्ये इंदिरा झलकते पण मोदीमध्ये संपूर्ण देशा झलकते! आम्ही देशासोबत आहोत! 🙏🏻✌️,hate
1865,#संजय_सिंह_गुंडा_हे न गुंड्यांची बेईजती न करा @SanjayAzadSln गलीच्या गंदे नालीमध्ये राहणाऱ्या आणि गंदे विचार करत राहणाऱ्या गलीचे पागल कुत्र आहे. आणि यासारखे कुत्रे ठिकाणी संसदेत आहे. So i urge @rashtrapatibhvn to threw these kind of dogs out from the parliament.,offensive
1866,गुरू विचारण्यानंतर हे कळले आहे की कंगना कमीनीसारखे चालू छोकरीला Y+ सुरक्षा देण्यात आले आहे ताकि हौलीवर सुरक्षासह गोपनीयतापासून कधीच बुलाया जाऊ शकतो@kanhaiyakumar @ravishndtv @aajtak @AmitShah @PMOIndia @KanganaTeam,offensive
1867,ही छोटी सुंदर मुलगी मंगळूरमध्ये तमिल भिक्षुंच्या एक समूहबरोबर दिसली आहे. कृपया ते सही माता-पितापर्यंत येऊ शकत नाही आणि तिची ओळख होत नाही. तिला त्याचे नाव ओळखते आणि स्वतःला सोनल बिपिन पटेल म्हणतात. कृपया हे चित्र आपल्या सर्व ग्रुपमध्ये पोस्ट करा. भिक्षु म्हणतात की तिला मुंबईपासून येणाऱ्या ट्रेनमध्ये भेटले होते. संभवतः तिची आयुष्य तिला परत मिळेल.,fake
1868,NSUI हिमाचल प्रदेशच्या कार्यकर्त्यांनी जेईईच्या परीक्षा देण्यास आले विद्यार्थ्यांना कुलू व हमीरपुर जिलेमध्ये कोरोना महामारीपासून बचाव करण्यासाठी मास्क आणि सैनिटाइजर केले.,offensive
1869,"आज तो रविवार आहे, आज तो रविवार आहे, आज तो रविवार आहे, आज तो रविवार आहे, आज तो रविवार आहे, आज तो रविवार आहे, आज तो रविवार आहे, आज तो रविवार आहे.",defamation
1870,कोलकाता पुस्तक मेळात BJP-आरएसएसच्या गुंड आणि कोलकाता पोलिसांनी सीएए- एनआरसी विरोधात प्रदर्शन करण्यासाठी विद्यार्थ्यांवर हमला केला. एक तरफ ममता बनर्जी आणि त्यांच्या पार्टीचे नेता स्वतःला BJP विरोधी म्हणतात आणि दुसरी तरफ टीएमसी सरकार निरंतर मोदी सरकारविरोधात सर्व गतिविधियां दबाव करीत आहे.,fake
1871,प्रशांत भूषणवर त्यांचे कॅबिनमध्ये झालेले आघाडीचे व्हिडिओसुप्रीम कोर्टचे वकील आणि कार्यकर्ता प्रशांत भूषणवर झालेले आघाडी,fake
1872,राजस्थानच्या एक हिंदू मुलीला काही मुसलमान मुलींनी घरी घेऊन बलात्कार केले आणि त्यानंतर मुलीला मोठ्या बेरहमीवर मारला आणि वहांच्या पोलिसांना काहीच करत नाही कारण कुठे त्या मुली आहेत वहा मुसलमानंची जनसंख्या जास्त आहे.,fake
1873,एक निजी शाळाच्या दोन्ही विद्यार्थ्यांच्या बेहरमीत डंडून मारणाऱ्या एक शिक्षकाचे व्हिडिओ सोशल मीडियावर वायरल होतात. #UttarPradesh https//tco/bbljtn0MY8,non-hostile
1874,एंटी-सीएए प्रदर्शनकार्यांनी तलवार मार्च काढला. विपक्ष हाही सुधारणार आणि बचावणार,fake
1875,जापानने भारतातील #COVID19 संकटला सामना करण्यासाठी स्वास्थ्य क्षेत्रला आधिकारिक विकास सहायता ऋण म्हणून ३५०० कोटी रुपयां दिली https//tco/mwfNkMojpj #IndiaFightsCorona,non-hostile
1876,या चित्रपटात हा मुलगा # सबरिमला भक्तविरोधात क्रूर लाठी चार्जच्या दौरान पोळीत होता हे गुंडा कोणत्या शिविरला संबंधित आहे सीपीएम किंवा एसडीपीआई,fake
1877,#Meerut बेरोजगारचा चलते युवयाने फान्सी कराकरचा आत्महत्या #Lockdownचा चलते गेला नौकरी अनेक महिन्यापासून नवीन नौकरी मिळाली नोकरी मिळाली तर बेरोजगारने जीवन कंकरचाराच्या विकास एन्क्लेवचा मामला दिला. @meerutpolice @igrangemeerut @Uppolice #policemedianews,non-hostile
1878,चांगला वोकल फॉर लोकलचा अर्थ हा था आमची मुंबई मुंबई माझे जीवन मुंबई हिंदुस्तान आहे खूप बुद्धिजीवी भरले आहेत देशात आज पाहिले डूब मरो रेगिस्तानतअब देव ही बचावणार आहे,defamation
1879,देशात 31 मार्च 2021 पर्यंत 81 कोटीपेक्षा जास्त लाभार्थींना One Nation One Ration Card Schemeमध्ये जोडी करण्याची योजना आहेhttps//tco/7c4lxR02jZ,non-hostile
1880,मीडियाच्या एका भागमध्ये केंद्रीय मंत्री अरुण जेटलीच्या स्वस्थेवर जे रिपोर्ट आहेत ते चुकीचे आणि निराधार आहेत मीडियाकडून मागणी आहे की अफ़वाह फालने बचं अरुण जेटलीचा मृत्यू झाला.,fake
1881,उत्तर प्रदेशच्या विश्वस्तरीय इन्फ्रास्ट्रक्चरपासून आय प्रगतीमध्ये रफतारउत्तर प्रदेश विकाससाठी स्थिर आहे. प्रदेशमध्ये निर्मित पूर्वांचल एक्सप्रेस-वे से अनेक जिले लाभदायक होणार आहेत आणि रोजगार संधी भी निर्माण होणार आहेत. https//tco/9j0FjONpJ3,non-hostile
1882,#आनुराग कासिप को गिरफ्तार करा. कलपर्यंत उमर खालिदसारखा आतंकवादी बचाव झाला होता. आज साला स्वयं बलात्कारक बाहेर पडला.,"defamation,fake,hate"
1883,#Delhiसुप्रीम कोर्टने १९८४ मध्ये सिख विरोधी दंग्यांच्या एक मामलात पूर्व कांग्रेसचे नेता सज्जन कुमारला जमानत देण्यास अस्वीकार केले. #SajjanKumar#policemedianews,non-hostile
1884,हा फोटो नीट आणि जेईई परीक्षण सेंटरच्या आहे. परीक्षण सेंटरच्या हा परिस्थिती असेल तर परीक्षण कसे आयोजित होणार भारी पाऊस चलते रास्ते आणि घरांमध्ये घडलेल्या जलभराव,fake
1885,@Royal_Atul_Rana @TheDeepak2020In @Thakurain_shivi @Sjp1007 @Radha_Rani_IND @MinakshiRana4 @Alok4BJP हे त्या 67 कारसेवकांची आहती आहे ज्याला लालू स्मृति ने जलवा केला होता आणि त्यानंतर झूठ बोलला होता सालेच्या आगच्या अंदर से जुळली होती लालूला तिच्या कमीनी पॅनचा परिणाम मिळतो जय जय श्री राम,"defamation,offensive"
1886,@narendramodi चीनकडून जे पैसे उधार घेतले ते वाटते की दरभंगाची एम्स बनणार आहे देशाचे कोणत्या भाग विकले जाणार चीनच्या हातात,"defamation,fake"
1887,इमाम हुसैन अलैहिस्सलाम कर्बलात शहीद झाले त्याचे कारण उम्मात शामोशी होते आज उम्मात शामोशी आहेत आणि मुसलमानंवर सर्व जगातील अत्याचार होतात.,offensive
1888,हे गुजरातियांवर विश्वास केले जाऊ शकत नाही. म्हणाला POK घेण्यासाठी आणि चीनमध्ये घुसलो. वास्तव में कमजोर दुश्मन ईन लोकांना आवडत नाही. तर बोलू हे लोकांना कशाला भाव देत नाही.,hate
1889,ड्रेनेजच्या दम्यात शहरात जलनिकासी व्यवस्थाची निरीक्षण करण्यासाठी दैनिक जागरूकता अभियानची राष्ट्रीय घोषणाhttps//tco/YU7Vaq0X6j https//tco/kr2tDGKUNk,non-hostile
1890,डुअल सेल्फी कॅमेरासह #OppoF17Pro च्या विक्री भारतमध्ये सुरू करा Features@oppomobileindiahttps//tco/yfFUAIQmH6,non-hostile
1891,कोरोना संकटमुळे मुलांच्या टीकाकरणमध्ये भारी कमी आहे#COVID19 https//tco/ccV4essj68,non-hostile
1892,कबड्डी खेळाडूच्या बटलात हत्या 5 पोलिसांनी समावेश एक व्यक्ती गिरफ्तार -https//tco/zLJPsYlcvH,non-hostile
1893,मुख्यमंत्री श्री @myogiadityanath जी दूध क्षेत्रातील अपार संभावनांना देखील या क्षेत्रातील विस्तार करण्यासाठी अधिक आणि अधिक दुग्ध समित्यांचे गठन आणि त्यांना स्वावलम्बी करण्याचा निर्देश केला आहे एसीएस घर व सूचना श्री @AwasthiAwanishK जी,non-hostile
1894,अर्थव्यवस्था पुनर्प्राप्ति कठीण शून्यपासून 109 टक्के नीचे राहणार 2020-21 मध्ये विकास दर#IndianEconomy @FinMinIndia @RBI @nsitharaman #GDP https//tco/KYEXg7ul7t,non-hostile
1895,आता भारतीय बंदरगांमध्ये जाणार नाही चीनीज टैगबॉट फक्त भारतात ही काम करू शकतीलhttps//tco/yK5mdRuqcI via @NavbharatTimes,non-hostile
1896,मनुष्याचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदयाचे हृदया,hate
1897,"केंद्रने सुप्रीम कोर्टला सांगितले की, बँके लोनमध्ये छूट दोन वर्षांपर्यंत वाढू शकते - आजची बड़ी खबर https//tco/KCHfcsLOCj",non-hostile
1898,जस्टिस एचआर खन्नाचा निर्णय बदलला होता काशवानंद भारतीय मामलाचा दृष्टिकोण. काय घडला होता वाचले माझे पूर्ण समाचार.@JagranNews न्याय एचआर खन्नाचा निर्णय बदलला होता काशवानंद भारतीय मामलाचा दृष्टिकोणhttps//tco/eMpzcgva5N Via Dainik Jagran AppClick to download https//tco/VUzTz5MS1w,non-hostile
1899,रोहतास इंद्रपुरीमध्ये जवळपास साधा कोटी रुपयांची किंमत बनणाऱ्या इको पार्क लवकरच पूर्ण होणार कामhttps//tco/ul1IUdm0HX,non-hostile
1900,अमेरिकेतील विद्यार्थ्यांनी दवा पाठविल्यानंतर भारताचा सम्मान करून हा व्हिडिओ तयार केला आहे.,fake
1901,झेलगी आग तो येतील घर अनेक जद येथे पे फक्त आमच्या घरी थोडी हैदली बांगलोर अमेरिकेत स्वीडननंतर बघ काय-क्या जळते निशाने पे अकेला हिंदू थोडी हैजय जय श्री राम 😍😍,hate
1902,कंगनाला गृह मंत्रिमंडळाने Y प्लस श्रेणीची सुरक्षा मुहानी केली https//tco/PKEMzGFgiE,non-hostile
1903,मातृ पक्षत काय करा आणि काय न करा!#PitruPaksh #Sprituality https//tco/jHvCZix726,non-hostile
1904,कांग्रेसचा अर्थ सोनिया आणि राहुल गांधी नाही तर देशातील हजारो कांग्रेसचे नेता आणि कार्यकर्ता आहेत#congress #SoniaGandhi #RahulGandhi @DrAKVerma9 https//tco/bzi7QVlM6b,non-hostile
1905,महाराष्ट्र विधानसभाच्या दोन दिवसीय मोन्सेन सत्र आज मुंबईत सुरू झाली. यावेळी #कोविड19 संबंधित दिशा निर्देशांचे कठीण पालन करण्यात आले. https//tco/ekA76rPxMZ,non-hostile
1906,विस एडमिरल एसआर सरमाएवीएसएमवीएसएमने सामग्रीभारतीय नौसेनाचे प्रमुख म्हणून कार्यभार संभाला https//tco/APBpx6uONd https//tco/0XKh6CYQAv,non-hostile
1907,राजनाथ सिंहच्या जूते निकालते सैनिकचा फोटो बांधते देखील दादीची बात याद आलं दादी म्हणाली इंग्रजीच्या वेळी स्वतंत्रतानंतर त्याची सच्ची कथा सांगते होते पिछड़ोंची जमीन फारवर्डने मारपीट कर मजबूरून आपल्या नावाने केले होते पिछली जातिची बहू बेटीला मारपीट कर कर हॅडचे चक्की से आटा पिसवाते,"defamation,hate,offensive"
1908,सचिन पायलटची पत्नी सारा पायलटने राजस्थानचे मुख्यमंत्री अशोक गेहलोतच्या विरुद्ध ट्वीट केले,fake
1909,भारतात गेल्या 24 तासमध्ये 65081 लोकांना ठीक झाले आहे. तसेच आतापर्यंत 2839882 लोकांना संक्रमणमुक्त झाले आहे. देशाची वसूली दर 77 टक्के झाली आहे. स्वास्थ्य मंत्रालय #CoronavirusIndia https//tco/Da0xbQFNqU,non-hostile
1910,अतिवर्षा आणि पीला बीमार्यामुळे किसानंच्या सोयाबीनची फसल खराब झाली आहे. दिल्ली सरकारसारखे मध्यप्रदेश सरकारने भी 50000Ru प्रति हेक्टेयरची मुआवजाची मागणी घेण्यासाठी प्रदेश अध्यक्ष @PankajSinghAAP जीने मुख्यमंत्री @ChouhanShivrajला कलेक्टर भपाल द्वारा ज्ञाना सादर केली. https//tco/AkNWWD5R3I,non-hostile
1911,"भारताने एका दिवसात सर्वात जास्त निरीक्षण करण्याची एक आणि ऐतिहासिक रिकॉर्ड तयार केलीअगले 24 तासमध्ये 105 लाख से अधिक कोविड निरीक्षण केले आहेतसभी राज्य/केंद्र शासित प्रदेश 140 निरीक्षण/ प्रति दिवस/मिलियन पेक्षा जास्त आहे, असे विश्व स्वास्थ्य संगठन सुझाव देतोविवरण https//tco/QQf5zigeI7 https//tco/NhaGzpU8Qy",non-hostile
1912,ऑफिसच्या घरी प्रेमाने घोषणा दिली आहे पोलिसा काय काम करत आहे पूर्ण देश ओळखतो @Uppolice सांगतो कल @Vaibhav_AAPच्या घरी पोलिसा कशाला गेला ऑफिसचा पता कशाला पूछा होता सुबहपासून ऑफिसच्या बाहेर पोलिसाचे जमावडा कशाला होते पहिले उसी ऑफिसमध्ये अनेक पीसी झाले तर आज काय झाले?,non-hostile
1913,मुंबईत फुटपाथ से टकरा कार भयंकर दुर्घटनात 4 लोकांचा मृत्यू 8 घायल #Mumbai https//tco/yXVnZHBEdl,non-hostile
1914,आता दिल्लीमध्ये सरकारी राशनची होम डिलीवरी होणार आहे. https//tco/uqPjxjgwCa,non-hostile
1915,सर्व महिलांना कांग्रेसच्या कार्यकर्त्यांनी हातात आजादीची रक्कम दिली जाणार आहे.,defamation
1916,भारतात-चीनमध्ये आज पुन्हा ब्रिगेड कमांडर स्तरची बातमी #IndiaChinaBorder @PMOIndia @MEAIndia @DefenceMinIndiahttps//tco/EBQwKC85YM,non-hostile
