,Post,Labels Set
1050,@BhagwantMann silent saile you will meet from the BJP if only the ball Sanjaysin intentionally announced yesterday in the state assembly so that you don't divide.,hate
1051,The joint team of the #Bulandshahr police and abortion team took 15 million wine from the camp of the shooting in the village of Lorraine and took the wine traffickers in prison from the chance. @bulandshahrpol @Uppolice #policemedianews,non-hostile
1052,Shruti Modi's lawyer's accusation- Sushant's property was on sisters' look https//tco/2BECOzrlTP,non-hostile
1053,#TheCinemaShow‘Food’s Reiter’s ‘Tehran’ trailer came ‘The Batman’ Robert Pattinson Covid’s positive ‘The Lunchbox’ screening on American audience’s Irfan Honouring told Mumbai POK so Bollywood gave a strong answer@mubarak_1106 @sayupasna https//tco/EBkInb9Yeg,non-hostile
1054,The final funeral will be held today in Delhi with the last departure LIVE Corona Protocol before it will be placed at the house for honor https//tco/QJNqbttyPl #PranabMukherjee #FormerPresident @CitiznMukherjee,non-hostile
1055,A Hindu man in Tamil Nadu cut a Muslim's head because his daughter had fled with that Muslim person. This disturbing surrender video was filmed in the Mandya district of Karnataka on 29 September 2018 where the struggle between two men began then became violent when one had said a contradictory talk about the other's mother. Local police told Boom that both the victim and the attacker belong to the Linguate community.,fake
1056,The team of the so-called secularists of Hinduistan in the case of the rape with Dr. Priyanka Reddy in Hyderabad and then the murder of her immortality today is avoiding to raise a voice against it because the accused Muslim and the area of Assuddin Ovasy is just so enough to not protest.,hate
1057,Pacific Landing Difficulty Increased Now Bar Council of India Will Action #PrashantBhushan https//tco/PFM9Pxsp5N,non-hostile
1058,"Now another major leader of Maharashtra, Vijay Vadettivar, has spoken a sharp attack on Kangana Ranaut #KanganaRanaut @kamleshsutarhttps//tco/Gwpl3Jp0P6",non-hostile
1059,Bihar Mamat in Revenge Celebration Wedding Celebration During the Temple Traffic Eight Death HTTPS//tco/pkVkedXabH HTTPS//tco/9GYaWamD7D,non-hostile
1060,@KapilMishra_IND @KreatelyMedia @anuragkashyap72 This is a good idea.,offensive
1061,#SanjaySingh is a very big pig #Sanjay_Sinh_Gunda_Han,offensive
1062,Space State Minister Dr. Zhetendra Singh said that the launch of Chंद्रयान-3 can be done at the beginning of 2021. Chंद्रयान-3 will also be like Chंद्रयान-2 it will include lander and rover but will not be an orbit. file photo https//tco/pe28x4Nglw,non-hostile
1063,Address to the Central Environmental Forest and Climate Change Minister @PrakashJavdekar at the First International Clean Air Day for Blue SkyWATCH LIVE https//tco/rApSPtjzAe https//tco/EN2jVxsTpN,non-hostile
1064,Vodafone-Idea can make a big announcement through a virtual conference today. #businesshttps//tco/HXbF93qEuA,non-hostile
1065,@Draps78 @igrangekanpur @adgzonekanpur @fatehgarhpolice @fatehgarhpolice - for the necessary procedure. @uptrafficpolice,non-hostile
1066,"A innocent man is being disturbed because his declared property is 20,000 million rupees which is more than the GDP of 39 of the world so now it has not been left even in the state of giving the challenge that some can say corrupt so show in prison by closing",fake
1067,The chairman of the Power Company also congratulated employees #HindiNewshttps//tco/bZGbwUmIIj,non-hostile
1068,From the murder of the #Sitapur elderly in the village the sensational elderly's necklace was riddled by the unmarried murder by the village the body was thrown out of the village the case of the Juti Maholi Thana area in the investigation on the police occasion. @sitapurpolice #allow_modification_in_delhi_police_form #69k_UpTeachersWantJoining #policemedianews,non-hostile
1069,Prime Minister Narendra Modi's mother Hirabane takes auto-rixha to go to the hospital today,fake
1070,@AUThackeray @OfficeofUT @UddhavThackarey @rautsanjay61 @shwetasinghat @aajtak @PTI_NewsYour people's behaviors have become so comedy before you beat the country's retired army captain with 10 gunds and now you're strangling the common citizen Baby Penguin a little bit so shame https//tco/DBdEgx7AuA,"defamation,fake"
1071,Those who don’t want to do what the government can do https//tco/UTxo6SNCd0,non-hostile
1072,"If the promise was true, then the children would also be true.",offensive
1073,#Jay_Tum_Plus_Jay_Mim =#ChurchKarnatka Congress Leader Faruk Imam Hussein Dolded Woman Unworn 👇👇 @BhimArmyChief @PMOIndia @Dr_Uditraj @iramvilaspaswan @RamdasAthawale 👇,fake
1074,"In order to provide relief to farmers during the Corona epidemic, the government purchased cattle and cattle at a record level. The PM farmers honour fund was transferred under ₹02-02 thousand to make farmers economically empowered. https//tco/snK1oK6Kat",non-hostile
1075,The country's famous man's lawyer Indira Jaysin and Anand Grower's #CBI's imprint on the siteshttps//tco/dWNo6Sdf52,non-hostile
1076,The officer of Lissy hits a boy with a thumb.,fake
1077,@SanjayAzadSln Sanjay Singh people's eyes stumbling the dust stop making Kejriwal R.S.S.'s union branch creation you all Frood you all R.S.S. BJP's country so understood was Delhi's people couldn't understand this mistake happened,defamation
1078,"The Minister of the Interior of Maharashtra said that if Kangana feels insecure here, they have no right to stay here https//tco/jxCnrGAuhW",non-hostile
1079,"Nawaz has shared a 20-year-old kind with the announcement of his next project, he is telling how he tried to meet with SUDHER MISHRA and waited all day but could not meet with them @Nawazuddin_S @IAmSudhirMishra https//tco/LbKGTzgiNC",non-hostile
1080,The flood came in the Odisha Great City 17 people died millions affected https//tco/fY8fRyTWUh,non-hostile
1081,BJP black dehttps//tco/XMwDqh5dgoreport @Madrassan_Pinky https//tco/qnZbgGWV1S,non-hostile
1082,#Budaun Roadway bus and bicycle crash bicycle riding woman male death police sent to the body postmortem both bodies in the shinacht of Juti police accidents in the Gongora of Ujani Kotvali. @budaunpolice @Uppolice #FridayMotivation #policemedianews,non-hostile
1083,@NayeemZafar1 @DrMerajINC @azizkavish @khanashraf045 @Nagrik18 @ShaikhHuzaifa01 @WasimAkramTyagi @SRiitu @_shahrukhansari @Mohamma60366517 @_garrywalia Bike both to double to unfollow also double to #unfollow@shanu_sab @007AliSohrab,"hate,offensive"
1084,Women's organization Cinderella Break Group member Dewangna Kalitha has been sentenced in a case linked to strike #DevanganaKalita https//tco/uarHi2JE3v,non-hostile
1085,@bewda_anna @Rolf_007 IPL will be watching,offensive
1086,SEBI's new rules apply from 1 September to new arrangements for investors in the stock market -https//tco/GaOmK9cCoZ,non-hostile
1087,CM Nietiš Kumar made the Pattaya Ring Road Project and 6 Lane Ganga Bridge under construction InspectionLight Kumar @kumarprakash4u's report#Bihar https//tco/ug2u5LjxI4,non-hostile
1088,Thana Varnavan area in Emiliatla located in the saddooons of the Gaudoy monastery in the intersection of the main prosecutor who marpetted the arrest and the action that is being carried out by the police was given by the authority of the area.,fake
1089,#LIVE on #ReportForSSR The DRDO office arrived to join the CBI investigation See Republic of India on https//tco/G945HvzM0ZYouTube live TVhttps//tco/P8bk9R5TiX,non-hostile
1090,The last prayer on the Babri Mosque was awarded after this prayer will be given to the Hindu management in place of the mosque #Ayodhyafasla #Babri Mosque,fake
1091,This simple C mountain can also save you from diabetes! know the same and 7 benefits of the mountain #healthyeating #healthshots https//tco/aBx5c4t8l1,non-hostile
1092,"After 2016, no other player except Federer Nadal and Novak Djokovic has ever won the Grand Slam. that is, the last 13 Grand Slam titles were the same names of the Big Three #USOPEN2020 @usopen https//tco/Z7FRjBMLqz",non-hostile
1093,RT @poojapalsp who understands the power is forgotten that the people have chosen them on the contract for 5 years.@Rhea_Ziddi @FOUNDERofMM...,hate
1094,The second week is also earning sharply the article 15 of life donation Know up to date collectionhttps//tco/uD8zX5KvjP #article15 @ayushmannk @anubhavsinha https//tco/H5YESoBFll,non-hostile
1095,I have heard that Arvind Kejriwal was coronated Oem Peace Oem Peace Oem Peace,fake
1096,Price War Between Reliance Jio and AirTel 40% Cheap Broadband Servicehttps//tco/ZJb6cgOOCW https//tco/Yz6tO6AOta,non-hostile
1097,BJP claims that he included 76361 congressional activists in the Gvaler-Chamble section in BJP in Congress so harsh has said that they had so many activists in that section either or not.,"defamation,offensive"
1098,Ramभक्त Gopal Sharma Hinduity Terrorwadi has spent a patch of just 80 rupees in the future from BJP to confirm the ticket of the parliamentary election!,"defamation,fake"
1099,What to keep careful when working together in agricultural activities#IndiaFightsCorona #COVID19 @PIB_India @PrakashJavdekar @shashidigital https//tco/jC3t9feCHJ,non-hostile
1100,China on the edge of hunger! can be the mouth of wheat growing populationhttps//tco/5AuooT2EOj via @NavbharatTimes,non-hostile
1101,@Dr_Uditraj @INCIndia silent MC somewhere unreaded shrimp shrimp.,"hate,offensive"
1102,Nitiš Kumar's administration is swimming in the water. Mujafurpur भागlpur Bihar Sharif and Pattaya were chosen to make a smart city that is still troubled by rain water burning today.,fake
1103,My country is changing ↓↓↓ HTTPS//tco/vvnkwv98QC,non-hostile
1104,I have now begun to heart leave the social site here people write empty crying something on the ground look not struggle means from parliament to street! on social media so struggle you are leaving two places empty the same is the most necessary thing from parliament to street,hate
1105,Italian scientists have found in their new research that no virus like Covid-19 actually exists.,fake
1106,"In the temple Ramadan is the event and the prayer is always, but Muslims have not organized the Christmas worship in a single mosque until today I am ashamed of this secularism's contract only Hindu brothers took itHarbika Liakat said: Ramadan in the temple is the day but not the Christmas in the mosque",fake
1107,Three-year-old girl flighted with 30 seconds of fear on social media video was viral https//tco/jSCjuMDiZ9 #Kite #Taiwan https//tco/PVPGjHIUYq,non-hostile
1108,@shalabhmani such a comedy if the police clothes will wear and go around then the bond will be this tooth theft party wants to promote and nothing,offensive
1109,Our strategy for control on Corona will take the right victory struggle. - Honourable Prime Minister Mr @ArvindKejriwal read with daily awakening Honourable Prime Minister G's various issues special conversation https//tco/U7DaUngIm1,non-hostile
1110,Happiest Minds IPO opening is completely subscribed to the IPO of Happiest Mind#IPO #Market #BSE #NSE https//tco/pDozsQYnKb,non-hostile
1111,Tweet on #ChinaParIndianPoll Your opinion on @ZeeNews continuously@aditi_tyagi @AmanChopra_Watch LIVE - https//tco/DrvFUf3YKl https//tco/9nvKTtPmZm,non-hostile
1112,This is the Dangerous Side Effect of Corona that Can Long During #Coronavirus https//tco/jKJQnVMFYZ,non-hostile
1113,"“Friends, all people are united and stand together whatever they are studying because this government we young students don’t hear and will not hear anything of the unemployed.",hate
1114,"“Whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth, and whoever does not know the truth.",hate
1115,SSR Case Shouvik-Samuel's arrest after the lawyer Development Singh's statement- investigation will come out with many and angels#SushantSinghRajput #RehaChakraborty #ShowikChakraborty https//tco/2U4HzTtK7b,non-hostile
1116,A person from the Sikh community has been hit by the activists of the Indian People's Party BJP.,fake
1117,Team Jangpura has decided to donate 600 oximeters on the occasion of the birthday of Honorable Prime Minister @ArvindKejriwal in order to save the lives of people in the Kona epidemic l@AamAadmiParty@Aap_Praveen https//tco/lS49m2F6eP,non-hostile
1118,"Every three months the Congress Party is pregnant and is recruited to the Operation Theatre very much Hangaama Machata that this time something will be sure something will be then the Doctor Operation Theatre comes out, removes his mask, globs leaves and says sorry just gas in the stomach was released!",offensive
1119,The fertilizer department is celebrating the Hygiene Pakhvada from 1 to 15 September 2020#Kovid19 this year the Hygiene Pakhvada and also important central minister @DVSadanandGowda https//tco/dXwBdjhzSv@fertmin_india,non-hostile
1120,Samsung’s new phone will be launched on September 10 in India with a battery of 7000mAh,non-hostile
1121,RT @Rofl_RavishNDTV Raoul Gandhi has made a statement before the Prime Minister's election Congress Muslims' Party in Haffir Mopre on a partial farmers party.,hate
1122,High Alert Home Affairs Officers Become People Are in Houses Throwing,fake
1123,In the last few days in Delhi Corona's case has increased slightly although the rest of the figures are in control. in the coming days the testing will be doubled. Press conference LIVE https//tco/MQzp7NuIpG,non-hostile
1124,Corona epidemic: India left Brazil behind in cases of infection https//tco/l9h9mgqst5,non-hostile
1125,No one can do Railway privatization Government no such plan- Rail Minister PYUSH GOYLhttps//tco/hYGqpUMkvV@PiyushGoyal @RailMinIndia https//tco/TPEful3BQ2,non-hostile
1126,This is South Mishra's husband weak and unhappy straight straight people who are thirst thirst thirst thirst thirst thirst thirst thirst thirst thirst thirst thirst thirst thirst.,fake
1127,Scripture and weapons are both the knowledge of the identity of Hinduism.Wake up Hindu awake not to be late.Jay Mr. Ram,hate
1128,A brother cut the whole body with a knife on the street to a sword who rape an eight-year-old girl in Barabank.,fake
1129,Deputy CM and Health Minister Nitin Patel rejected it,fake
1130,The bank’s no bank account will come to the bank’s bank account with the poor’s accounts! 😂😂😂@WasiuddinSiddi1,defamation
1131,The father said they are worried about the safety of their daughter#UnnaoCase #UPPolice #BJP #YogiAdityanath #Student #Beti #Unna #UPPolis #YogiAdityanathhttps//tco/Se8SboTdRl,non-hostile
1132,The new world class hospital of the 700 beds of the Delhi government is becoming in Buraki. for the treatment of Kornah we are 450 beds now starting. taking it today I and Manish lived. https//tco/4yvnI1fAq0,non-hostile
1133,#DRDO made a successful test of the hypersonic wheel #HSTDV @Sheerin_sherry @kmmishrazee https//tco/0ZYnTqz0pw,non-hostile
1134,It is said that the institution has never claimed that their drug - coronyl - can heal or control coronavirus but we made drugs and conducted clinical trials in a controlled form that healed coronavirus patients.,fake
1135,#Rozgar_no_to_government_no as much to congratulate you people work I also full family unemployed I am with you from social media now should descend as a movement on the street,hate
1136,China told Arunachal Pradesh that it did not give anything to the Indian hostages #IndiaChinaStandoff https//tco/oyhPcxKT7w,non-hostile
1137,UP Finance Minister सुरेश खन्ना Boley- Economic activities rapidly increase 600 million rupees in August #ExcessRevenue #SureshKumar https//tco/eYYylKFCKt,non-hostile
1138,The dignity of the PM post will be terminated in this way from MURCH MODI this is hopefully a young girl to read the text well and take up in his goat and call off the word can only do a low.,fake
1139,Just thinkWho is giving true respect to the elderly! https//tco/B2c6cpWd3e,non-hostile
1140,Who is responsible for a 239% decline in GDP Corona or the government in your comments https//tco/rYTCNbCuRY,non-hostile
1141,Thank you Kalash G we have to help the people of the country and protect them from Corona. https//tco/tzWbPszkz3,non-hostile
1142,The operations of the Lakhnu Metro in North Pradesh began again this morning. the first metro train took place at 6 a.m. The Lakhnu Metro has given special attention to the safety and cleaning of passengers from one another. https//tco/aBQDEsgaK5,non-hostile
1143,In addition to adequate stack of appropriate medications for treatment to be guaranteed relief commissioner Mr. Sanjay Goyl G.,non-hostile
1144,A Maharashtra's Sanjay Raouth and a Delhi's Dalla Sanjay Sing both are so shy and fictional that they don't add in India #Sanjay_Sin_Gunda_Hai,offensive
1145,A few days in the government and a few days in the government and a few days in the government and a few days in the government and a few days in the government and a few days in the government and a few days in the government.,fake
1146,"Three types of entrepreneurs are connected from the industry. one is those who are operating their industry, the other is those whose enterprises are established and the third is those entrepreneurs who are willing or attempting to put the industry in the province ACS Home and Information Mr @AwasthiAwanishK G",non-hostile
1147,"On the 35000's billing, the boy threw fire in his car and the wife gave the children a pistol. the tea maker was screaming that he was able to become a watchman but the blinds made him PM Mental balance loses the youth now it's a trailer","defamation,fake,hate"
1148,Sumit Nagal became the first Indian to win the first match of Men's Singles in 7 years in the US Open #USOpen #India #SumitNagal #GrandSlam @IndiaSportshttps//tco/N3JPPWJEKl,non-hostile
1149,Updates of the situation Eastern Laddakhstark Indian soldiers completely failed this exciting attempt of the PLA soldiers on the southern end of the Pongong Tso LakeAbout https//tco/UAg1b8GFpm,non-hostile
1150,The world-level infrastructure of the North Pradesh dedicated to social and economic development is helpful in advancing the path of development. https//tco/QS4AsyLVqL,non-hostile
1151,4 big banks have taken such steps that will impact directly on your pocket//tco/ICyJLaJLQI via @NavbharatTimes #Bank #Loan #FD #ATM https//tco/f11XHgQNTO,non-hostile
1152,See the main news of this time—the wave of sadness throughout the country on the death of former President Prnub Mukherjee—President and PM did Prnub Da Remember—JEE and NEET exams start from today—Parliament’s Monsoon session from 14 September to▶️https//tco/4OT67sxYI3#Headlines https//tco/POhlO4Ykkg,non-hostile
1153,Playcard says I'm not Hindu,"fake,hate,offensive"
1154,The government announced a seven-day political sadness in honor of the day-to-day leader https//tco/ksmNcyScJ6,non-hostile
1155,The claim of Kanga in the Sushant case the actress said- Ames denied the possibility of self-suffering the fear of killing the throat clinging on the theory of depression targeting on the Deepika simple https//tco/GLEaXXPAXF #SushantSinghRajput #KanganaRanaut @deepikapadukone @KanganaTeam,non-hostile
1156,The people of a special race from the Collegium system against the Supreme Court are becoming judges so the Collegium system should be completed by all classes to be assured representation in the Supreme Court https//tco/uIuB6NyptK,non-hostile
1157,Minisha has criticized the media trial against #RheaChakraborty https//tco/TGJ2r0JbzA,non-hostile
1158,India's most 90632 cases of corona virus in a day#COVID19 https//tco/VIPNIaXwCb,non-hostile
1159,@NationalDastak a original resident to be the head of state understand the difference they see their house see the hole in the wall will come to see a industryman's salary head of state will see the house of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king of the king.,offensive
1160,Whoever was aware that Manmohan Singh was the Prime Minister will see this video twice or four times opening the eyes and the whole wave will be away!,fake
1161,"According to the 12th five-year plan, less than 5 percent of the Workforce in India received formal professional education. This number in the United States was 52 percent in Germany 75 percent and in South Korea 96 percent.",non-hostile
1162,Our country is only a lack of understanding in the majority of the people but the leader is so much more than a commodity in which Congress Private Limited is also a country-deceased.,"defamation,hate"
1163,Happy Birthday to @myogiadityanath.God give you longevity.@CMOfficeUP @myogioffice @Uppolice Regards Pandit Dhawan sharma Haryana Student Union https//tco/1vQfVNiVQ2,non-hostile
1164,@yogrishiramdev Baba You've said a few things before the 2014 election Remember Baba Balmiki will also go to bite from BMW what happened your promise,defamation
1165,#Unlock4Guideline starts unlock-4 from today Know what will open and what will be closed#Unlock4 https//tco/FrzuH20LCu,non-hostile
1166,"All these questions are important.Everyone is working together for the solution of the question.Education ministry also continues to communicate continuously.In the states, the whole talk of every stackholder's opinion is being heard with an open mind.In the end, we all are working together to solve all the concerns and concerns.",non-hostile
1167,Ever Kashmiri Hindu also flew the cabbage of peace today refugees are swallowing in the camp.,defamation
1168,CM Nietiš Kumar's definitive dialogue before Tejashev Memorial said the questions of the Tejashev Memorial - Reply in the rally must be doneRaport: @kumarprakash4u#NitishKumar #TejashwiYadav https//tco/IY2Ysd8ow7,non-hostile
1169,@TeamKanganaR Don't take the name of Kutiya Ambedkar Don't take the name of Kutiya Ambedkar Don't take the name of Kutiya Ambedkar Don't take the name of Kutiya Ambedkar Don't take the name of Kutiya Ambedkar,"defamation,fake,hate"
1170,@RahulGandhi in the BREAKING People's Assembly raised the issue of farmers Minister of Defense @rajnathsingh said- @INCIndia is sad because of farmers' statehttps//tco/EHYJ1pjZqJ https//tco/WVLlurQbG0,non-hostile
1171,UP: Daydaha in Raiberelli Disappeared Nabalig Child in the Village of Sensanny Youth on Accusationhttps//tco/0RcrakCymx,non-hostile
1172,Why China repeatedly tries to penetrate #China #India #IndiaChinaFaceoff #REhttps//tco/SOFACMdfmC,non-hostile
1173,Congress Now Will Do Cost Cutting Media Coordinator Rated Seth gave resignation-@AadeshRawal https//tco/yL5PruYDVs,non-hostile
1174,"In all other regions except the north-east, normal rain recorded 10 percent lower than normal in the north-east.",non-hostile
1175,Muslims burned the statue of Mother Black.Murshidabad West Bengal state<unk> https//tco/LWNdYhmQEm,hate
1176,Yogi's leadership is moving toward the supernatural satyug.Lakhampur killed by raping the student in the cabbage.This day it is happening with the cabbage.,non-hostile
1177,Certain dialogue in whose kingdom was the collective genocide was the kingdom of Crime-Karption-Communism they are talking about us Nitiš Kumar https//tco/Ya6aHmdf2M #BiharElections @Jduonline @BJP4Bihar @NitishKumar @RJDforIndia @yadavtejashwi @INCBihar,non-hostile
1178,It was purely to make my audience laugh.,fake
1179,When Sonia Gandhi was once a dancer,fake
1180,You are crying for the red-kile!Our so PM only!The last 5 years have been caught here!,"defamation,offensive"
1181,A woman in Gaziabad committed suicide and made a video in which she was accusing of disturbing her supporters.The police arrested her husband and sister from her mobile video and arrested her husband and sister.,non-hostile
1182,The sister of Sushant's talent appeared to look both hands write together in Sushant's world has less than 1% of people this har sister shared the video saying Ray Geniushttps//tco/tnl6XvMjMa@shwetasinghkirt #SushantSingRajputDeathCase #RheaChakroborty,non-hostile
1183,"In June, the fall of 239 per cent compared to last year is the highest among the world’s largest economies. #GDP #NarendraModi #India https//tco/ngJMCfsNLU",non-hostile
1184,"The most popular leader on TV was Modi, while in the case of being Jalil, Raul Gandhi is still on the number one.",hate
1185,GDP has fallen today will stand tomorrow – that doesn’t mean that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country sellers and that the country will be transferred to the country.,"defamation,offensive"
1186,RJD will be joined by Ramah Singh Lalu Remembrance's close leader being Rajouvanish Prasad Singh on Simple Signal Report @kumarprakash4u#Bihar https//tco/g3t3YFwMwR,non-hostile
1187,Gitan Ram Manjhi's Going from the Great Alliance is sad for us - subcenter Kushwaha#JitanRamManjhi https//tco/VbSrZ1GAuZ,non-hostile
1188,A friend's statement on Sushant's drug addiction producer Sadip Singh said- He never took drugs before me if Ria is saying so they will know https//tco/746TyU6JXq #SandipSingh #SushantSinghRajput @shwetasinghkirt,non-hostile
1189,21 of the 27 seats of the People's Party's Delhi Assembly to Muslims. just thought. Delhi will be Rawalpindi. share and see Kejriwal Uर्फ Kejruddin who wants to make Delhi as a self-Pakistan is all in front of you.,defamation
1190,@erbmjha @taapsee you sister's laudo made this prostitute from his same chutiyape which a few months ago no one knew even made the star of his own pigs' province you raised yourself an enemy and now an extra enemy has to deal with the death of lgumnami when you'll learn Be Chutiyon,hate
1191,See Republic of India on #LIVE https//tco/G945HvzM0Z https//tco/EVCQ12q4un,non-hostile
1192,BJP is the only party that is fighting not only for India but also for the Hindu in Afghanistan and Bangladesh.,hate
1193,@Abhayku56890014 @ips_gupteshwar @Dr_Uditraj @yadavakhilesh @narendramodi @RubikaLiyaquat Your whole family is lipt in this job This is why your word is such a dirty is the government of Gandhi This is why he is sending such a video I am disturbing,offensive
1194,"Yesterday, people’s oxygen level was checked through the oxygen check campaign in Batul Murana and Indor.@ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https//tco/ozx5kQSgrr",non-hostile
1195,Sovereign Gold Bond last chance to buy cheap gold this year today fromhttps//tco/kAYQRcfYL7 via @NavbharatTimes,non-hostile
1196,ALERT Warning of the WHO on Corona Vaccine HTTPS//tco/HzIvsPbZHS,non-hostile
1197,** China also wrapped in front of Muslims *** ** Chinese President went to the mosque and prayed to the Muslims to ask for the forgiveness of Gai Karmo ** This is what Islam was looking to remove ** in China until now because of the Corona virus there was no healing of the dead of Jindgya.,fake
1198,Who says Hindu is not in danger this was proof a Muslim molana a Hindu goddess is taking by kidnaping a Hindu to wake up so jang go then don't say was awake 😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆,hate
1199,See yourself the leader of the country's perversy Yogi Adityanat just two FIR registered in the parliament how the bull bull started to cry. on the other hand Sanjay Singh's hole.Mia I'm a lion's hole doesn't go.I don't make the hole nor do so.@SanjayAzadSln@AamAadmiParty https//tco/tygMN82tx4,non-hostile
1200,"Fatima G my boy loves Muslim girl and that girl also loves her she wants to marry but the girl's family is not convinced about this, can I marry them both?",offensive
1201,I think it’s a good thing to do! 😉 😂😂😂😂😂😂,offensive
1202,I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure,non-hostile
1203,Minister of Defense Rajnat Singh discussed the exciting action of the Chinese army https//tco/R43uCKKxc5,non-hostile
1204,People are being evacuated from their homes. media does not show them are being sold so sharing this video is now our responsibility.,fake
1205,Britain is a happy country because there are people like Mr. Bean who just make comedy that dream of becoming Prime Minister.,defamation
1206,#SushantSinghRajput Case 11 Days After CBI's Hand Was HTTPS//tco/vgxldSm1gn,non-hostile
1207,RT @Rofl_RavishNDTV They do not talk about the BJP with BJP with BJP with BJP with BJP with BJP with BJP with BJP!,hate
1208,Bollywood is just to increase the wrong thing. for them ever the goddess on the goddess then ever the tradition of joking on the army is chuka.,offensive
1209,Exclusive interview: Bejra and we will continue to run together Raj@DrAjaySChautala @cmohry @mlkhattar #HaryanaPolitics https//tco/264BXmPlze,non-hostile
1210,#Horoscope Rashifal says how your day will be https//tco/yTpeRlnffw,non-hostile
1211,All brothers teach the lessons to those cheerful people who find the chances of Faltu to target Hans @HansrajMeena brother are the chaman chatiya people!! @RamlalAluda @PilotPragpura @Rajesh_Meena88 @Ms_Marmat @k2mcheeta @RajendraMeena50 @Dkbaiplawat @RBaiplawat @JavanSinghMeena @SatyaMeenaSWM https//tco/kyaF6UmdaO,offensive
1212,"It is not a horse, it is a horse, it is a horse.",offensive
1213,RT @_Pb_swain_ will go bulldozer then will come the house of Wadra too in jade!! here illegal just the house of the canyon is a little 😂😂😂,defamation
1214,@sandeep54855982 Please give you a brief description of your problem,non-hostile
1215,Unfinished symbol of Indian self-righteousness congratulations to all citizens on the day dedicated to Indian integrity when an year of removal of article 370 is completed. https//tco/1b7JCGiviy,non-hostile
1216,Karnataka Crisis Kumarswami Trust Voting Prepared BJP Legislatives will Shift in 3 Hotels #HDKumaraswamy #Karnataka https//tco/PglRsOAS3d https//tco/IN9DvhskG3,non-hostile
1217,"In the case of disregarding Pacific Landing, the Supreme Court has heard a rupe's penalty sentence on this judgment of the Court to tell your opinion https//tco/rEVe9W1qnV #PrashantBhushan https//tco/7b4qPe7p9y",non-hostile
1218,Yogi's wife and daughter also look at my Gaya J,fake
1219,@mangeshkarlata China India's drowned economy poverty hunger unemployment should be the courage to write something so just Chaplusy country went 100 years behind is this country not your now why not the voice is coming out,hate
1220,"On the death of journalist Nilanchu Shukla, Priyanka Gandhi called for insurance cover for journalists from the Sad Government to HTTPS//tco/Ra5BnnyVjA",non-hostile
1221,@SanjayAzadSln Rajputu Aजय Kumar Bishon made fear in the minds of Rajputu Sanjay Singh so filled in it no doubt if there was no fear then the press conference did not tweet,defamation
1222,"There are two kinds of righteousness: the righteous, the righteous, the righteous, the righteous, the righteous.",hate
1223,Covid-19 is a bacteria that can be treated with aspirin.,fake
1224,"BJP's Nalaik Nich Pakhandi भक्त and Chatucaro's Literature Keral Somalia isKashmir Pakistan isWest Bengal Bengal is Country and Mumbai is POK, but Northern Territory only is He He He He He He He He He He He He He He He",hate
1225,@yogrishiramdev Ba Ray Kana God make we Nihaiti Beshram #AthemKoronil on the re-chatiakoronil Ptolemaios took U-turn said we didn't make the drug of corona treatment but made the drug of immunity. #CORONIL #Patanjali #Raziv_Didit_ka_hithara_Kana_Ramdev,offensive
1226,HAPPY HOLLY ADVANCE in SALE PAKISTANO ↓↓ Now is the beginning ↓ #IAF strike #JAYHINDVIDEOSGAME's clip on Pakistan was air strike,"fake,offensive"
1227,"After the disclosure of Diepesh and Miranda, Ria's increased difficulties deleted WhatsApp chat at NCB's look https//tco/r0HaFA5Ds7",non-hostile
1228,"After more than five months of interruption in different cities in the country, the Metro Rail services will start again. https//tco/N6FFURCj94",non-hostile
1229,@NehaChowdhryIN7 These are all the shades and unbelievers yet my India is great 🙏🏻#Sanja_Sinh_Gunda_Hai,"defamation,offensive"
1230,Arunachal Pradesh Congressional Legislative Ningong Aring has tweeted that China's People's Liberation Army has allegedly kidnapped five people from Arunachal's Upper Subsiri district a few months ago the same incident occurred @abt1607 https//tco/S49PaZaezZ,non-hostile
1231,The Chinese and Pakistani can also call their father.,"defamation,offensive"
1232,JNU's Naksli Gang has written below the #Swami_Vivekanand's statue: God will burn.Namurad Jahilo your red greetings thousands of generations will come like this will go.Then God will live and will remain forever.,"fake,offensive"
1233,Jammu Kashmir: The party's meeting was cancelled #PDP #JammuKashmir #Article370 #PDP #JammuKashmir #Article370 https//tco/tNOsL93Scg,non-hostile
